sn,Category,Sub-Category,Brand,Suvidhaa SKU,Product Title,Product Description,Product Image Link,Points
900,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1247,iPhone 11 Pro Smart Battery Case with Wireless Charging - Black,Apple iPhone 11 Pro Smart Battery Case with Wireless Charging - Black,SIL-1247.jpg,TBD
901,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1248,iPhone 11 Pro Smart Battery Case with Wireless Charging - Pink Sand,Apple iPhone 11 Pro Smart Battery Case with Wireless Charging - Pink Sand,SIL-1248.jpg,TBD
902,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1249,iPhone 11 Pro Smart Battery Case with Wireless Charging - White,Apple iPhone 11 Pro Smart Battery Case with Wireless Charging - White,SIL-1249.jpg,TBD
1007,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1354,iPhone�11 Smart Battery Case with Wireless Charging - Black,Apple iPhone�11 Smart Battery Case with Wireless Charging - Black,SIL-1354.jpg,TBD
1008,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1355,iPhone�11 Smart Battery Case with Wireless Charging - White,Apple iPhone�11 Smart Battery Case with Wireless Charging - White,SIL-1355.jpg,TBD
1025,Apple Brand Accessories,Macbook Sleeve,Apple,SIL-1372,Leather Sleeve for 13-inch MacBook Pro � Black,Apple Leather Sleeve for 13-inch MacBook Pro � Black,SIL-1372.jpg,TBD
1026,Apple Brand Accessories,Macbook Sleeve,Apple,SIL-1373,Leather Sleeve for 13-inch MacBook Pro � Midnight Blue,Apple Leather Sleeve for 13-inch MacBook Pro � Midnight Blue,SIL-1373.jpg,TBD
1027,Apple Brand Accessories,Macbook Sleeve,Apple,SIL-1374,Leather Sleeve for 13-inch MacBook Pro � Saddle Brown,Apple Leather Sleeve for 13-inch MacBook Pro � Saddle Brown,SIL-1374.jpg,TBD
1028,Apple Brand Accessories,Macbook Sleeve,Apple,SIL-1375,Leather Sleeve for 16-inch MacBook Pro � Black,Apple Leather Sleeve for 16-inch MacBook Pro � Black,SIL-1375.jpg,TBD
1029,Apple Brand Accessories,Macbook Sleeve,Apple,SIL-1376,Leather Sleeve for 16-inch MacBook Pro � Saddle Brown,Apple Leather Sleeve for 16-inch MacBook Pro � Saddle Brown,SIL-1376.jpg,TBD
1031,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1378,Lightning to USB Cable (2 m),Apple Lightning to USB Cable (2 m),SIL-1378.jpg,TBD
1032,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1379,Lightning to VGA Adapter,Apple Lightning to VGA Adapter,SIL-1379.jpg,TBD
1038,Apple Brand Accessories,Keyboard,Apple,SIL-1385,Magic Keyboard - US English,Apple Magic Keyboard - US English,SIL-1385.jpg,TBD
1039,Apple Brand Accessories,Keyboard,Apple,SIL-1386,Magic Keyboard with Touch ID and Numeric Keypad for Mac computers with Apple silicon - US English,Apple Magic Keyboard with Touch ID and Numeric Keypad for Mac computers with Apple silicon - US English,SIL-1386.jpg,TBD
1040,Apple Brand Accessories,Keyboard,Apple,SIL-1387,Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - US English - Black Keys,Apple Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - US English - Black Keys,SIL-1387.jpg,TBD
1043,Apple Brand Accessories,Mouse,Apple,SIL-1390,Magic Mouse - Black Multi-Touch Surface,Apple Magic Mouse - Black Multi-Touch Surface,SIL-1390.jpg,TBD
1044,Apple Brand Accessories,Laptop Accessories,Apple,SIL-1391,Magic Trackpad - Black Multi-Touch Surface,Apple Magic Trackpad - Black Multi-Touch Surface,SIL-1391.jpg,TBD
1045,Apple Brand Accessories,Laptop Accessories,Apple,SIL-1392,Apple Memory Module 16GB DDR4 2666MHz SO-DIMMS (2x8GB),Apple Memory Module 16GB DDR4 2666MHz SO-DIMMS (2x8GB),SIL-1392.jpg,TBD
1046,Apple Brand Accessories,Laptop Accessories,Apple,SIL-1393,Apple Memory Module 32GB DDR4 2666MHz SO-DIMMS (2x16GB),Apple Memory Module 32GB DDR4 2666MHz SO-DIMMS (2x16GB),SIL-1393.jpg,TBD
1083,Apple Brand Accessories,Laptop Accessories,Apple,SIL-1430,Pro Stand,Apple Pro Stand,SIL-1430.jpg,TBD
1084,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1431,Smart Folio for iPad Pro 11-inch (3rd generation) - Deep Navy Case,Apple Smart Folio for iPad Pro 11-inch (3rd generation) - Deep Navy Case,SIL-1431.jpg,TBD
1096,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1443,USB-C to 3.5 mm Headphone Jack Adapter,Apple USB-C to 3.5 mm Headphone Jack Adapter,SIL-1443.jpg,TBD
1097,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1444,USB-C to Lightning Cable (1 m),Apple USB-C to Lightning Cable (1 m),SIL-1444.jpg,TBD
1098,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1445,USB-C to Lightning Cable (2�m),Apple USB-C to Lightning Cable (2�m),SIL-1445.jpg,TBD
1099,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1446,USB-C to USB Adapter,Apple USB-C to USB Adapter,SIL-1446.jpg,TBD
1100,Apple Brand Accessories,Monitor Mount,Apple,SIL-1447,VESA Mount Adapter,Apple VESA Mount Adapter,SIL-1447.jpg,TBD
1161,Apple Brand Accessories,Mobile Accessories,Apple,SIL-1508,APPLE WORLD TRAVEL ADAPTER KIT,APPLE WORLD TRAVEL ADAPTER KIT,SIL-1508.jpg,TBD
1230,Personal Care,Wearable,Samsung,SIL-2284,R177N - Buds 2,Samsung R177N - Buds 2(R177N),SIL-2284.jpg,TBD
1248,Audio,Bluetooth Headset,Syska,SIL-2334,BLUETOOTH HEADSET,"SYSKA BS0856 40mm Driver Wireless Headphones, 10 Meter Working Range, Bluetooth V5.1, Music time 20Hrs",SIL-2334.jpg,TBD
1249,Audio,Bluetooth Speaker,Syska,SIL-2335,SYSKA BLUETOOTH SPEAKER,"SYSKA BT4080X 5 Watt True Bass Bluetooth Speaker (Grey, Stereo Channel)",SIL-2335.jpg,TBD
1250,Audio,Neckband,Syska,SIL-2336,NECKBAND,"Syska HE3500 with ENC,Fast Charging,Low Latency for Gamers,25Hr Playback Bluetooth Headset (Charcoal Black,True Wireless)",SIL-2336.jpg,TBD
1251,Mobile Accessories,Power Bank,Syska,SIL-2337,10000 Mah powerbank,"SYSKA Power Bank 10000mah | 6 Months Warranty | Powerbank, Battery Bank, PL100J with 3-in-1 Led Light",SIL-2337.jpg,TBD
1252,Audio,Bluetooth Speaker,Syska,SIL-2338,SYSKA BLUETOOTH SPEAKER,"SYSKA Qube BS501 5W, Wireless Ultra-Portable Bluetooth Speaker, HD Sound, 10 Meter Working Range, Made in India, Type C Charging (with Mic and Voice Assistant, ",SIL-2338.jpg,TBD
1253,Audio,Airpods,Syska,SIL-2339,EARBUDS,"Syska Sonic Buds IEB450 True Wireless Earbuds with Ultra Sync Technology, 20Hr Play BackTime, Tap N Play Touch Control, Light Weight, IPX4 Water Resistant",SIL-2339.jpg,TBD
1255,Kitchen Appliances,Kitchen Gift Set,Vaya,SIL-1656,,Drynk  600 (Sipper) - Plain + Popcup 2 nos ,SIL-1656.jpg,TBD
1256,Kitchen Appliances,Kitchen Gift Set,Vaya,SIL-1657,,Drynk 600ml Sipper & 350ml Gulper Assy ,SIL-1657.jpg,TBD
1257,Kitchen Appliances,Kitchen Gift Set,Vaya,SIL-1945,,Luxetray + Popcup 4 nos ,SIL-1945.jpg,TBD
1260,Home Appliance,Gift set,Vaya,SIL-2356,,Tyffyn 1000 ml with Bagmat + 600 ml Drynk with Gulper Assy,SIL-2356.jpg,TBD
